"site","modality","position","timezone","latitude","longitude","source_repository","source_version","source_commit","doi","license","melidosData_version","rows_light","rows_intervals","light_file","light_md5","intervals_file","intervals_md5","transformation"
"TUM","light_glasses_1minute","glasses","Europe/Berlin",48.1333,11.5667,"https://github.com/MeLiDosProject/HildenEtAl_Dataset_2025","1.0.1","eeafeea65ee0d2e0f3a5ab9f17b0f22b29e63e57","10.5281/zenodo.16893901","CC-BY-4.0","1.0.3",2880,6,"tum-light.rds","5c665aaa564e2310e50b8559e19a6dd8","tum-intervals.rds","296b62a75edfca80981612eeea0e0074","First two complete local dates of one already anonymous participant; ID replaced by a fixture identifier; selected light columns only."
"KNUST","light_chest_1minute","chest","Africa/Accra",6.675007,-1.572644,"https://github.com/MeLiDosProject/AkuffoEtAl_Dataset_2025","1.0.1","ea49a38edfb1f6397302f37776a4496ed0ca2dd5","10.5281/zenodo.15576731","CC-BY-4.0","1.0.3",2880,3,"knust-light.rds","4d26a9248195a194d92d113efefcdda5","knust-intervals.rds","a20e52610a4ac004c56f8257136a4d30","First two complete local dates of one already anonymous participant; ID replaced by a fixture identifier; selected light columns only."
"UCR","light_wrist_1minute","wrist","America/Costa_Rica",9.9372,-84.0509,"https://github.com/MeLiDosProject/Sancho-SalasEtAl_Dataset_2025","1.0.0","ed90d9ac91b9fa81c0869dafbe6efb3c8d9faed3","10.5281/zenodo.17289456","CC-BY-4.0","1.0.3",2880,8,"ucr-light.rds","6def1bbaee3aa3e294eebfbb35f80c48","ucr-intervals.rds","48132733c507dd38bb20013a554917ce","First two complete local dates of one already anonymous participant; ID replaced by a fixture identifier; selected light columns only."
"RISE","light_glasses_1minute","glasses","Europe/Stockholm",57.71567,12.89087,"https://github.com/MeLiDosProject/NilssonTengelinEtAl_Dataset_2026","1.0.1","12ca7139b78949ab84e0be92822d03910c1e47c8","10.5281/zenodo.18925834","CC-BY-4.0","1.0.3",2880,9,"rise-light.rds","a5eabd06c1473865e8cf91889eb82b4a","rise-intervals.rds","c4645421ba17228c16915fbf52338c37","First two complete local dates of one already anonymous participant; ID replaced by a fixture identifier; selected light columns only."
